order_id,created_at,updated_at,cancelled_at,total_price,discount,customer,address,notes
2a8634ae-c770-3dd3-aac6-3e9b280f21c1,2023-02-10T22:35:53+00:00,2023-10-19T15:23:34+00:00,,161.47,30.79,"{""name"":""Henriette"",""last_name"":""Morar"",""email"":""lemke.rodrigo@steuber.com"",""has_account"":false}","{""name"":""Henriette"",""last_name"":""Morar"",""email"":""lemke.rodrigo@steuber.com"",""has_account"":false}","{""name"":""Henriette"",""last_name"":""Morar"",""email"":""lemke.rodrigo@steuber.com"",""has_account"":false}"
a92c9066-e171-3bc5-b788-da970324fe2e,2023-08-29T07:31:02+00:00,2023-10-12T17:54:33+00:00,,275.71,0.11,"{""name"":""Godfrey"",""last_name"":""Kerluke"",""email"":""estelle.feest@rosenbaum.com"",""has_account"":false}","{""name"":""Godfrey"",""last_name"":""Kerluke"",""email"":""estelle.feest@rosenbaum.com"",""has_account"":false}","{""name"":""Godfrey"",""last_name"":""Kerluke"",""email"":""estelle.feest@rosenbaum.com"",""has_account"":false}"
1bf015cd-4e28-38fc-86d4-3fe6d3db175f,2023-06-04T05:30:03+00:00,2023-10-14T06:13:40+00:00,,336.16,23.83,"{""name"":""Celine"",""last_name"":""Cummerata"",""email"":""dicki.benjamin@yahoo.com"",""has_account"":false}","{""name"":""Celine"",""last_name"":""Cummerata"",""email"":""dicki.benjamin@yahoo.com"",""has_account"":false}","{""name"":""Celine"",""last_name"":""Cummerata"",""email"":""dicki.benjamin@yahoo.com"",""has_account"":false}"
979981f3-72a6-367e-b8fe-61fd233d40df,2023-01-10T08:37:51+00:00,2023-10-24T05:15:33+00:00,,223.26,28.72,"{""name"":""Kaylie"",""last_name"":""Robel"",""email"":""vreichel@gmail.com"",""has_account"":true}","{""name"":""Kaylie"",""last_name"":""Robel"",""email"":""vreichel@gmail.com"",""has_account"":true}","{""name"":""Kaylie"",""last_name"":""Robel"",""email"":""vreichel@gmail.com"",""has_account"":true}"
88ae2e4d-04fe-3381-bf91-82596494353c,2023-08-24T04:50:31+00:00,2023-10-14T02:44:12+00:00,,322.03,34.97,"{""name"":""Antonietta"",""last_name"":""Quigley"",""email"":""yreynolds@yahoo.com"",""has_account"":false}","{""name"":""Antonietta"",""last_name"":""Quigley"",""email"":""yreynolds@yahoo.com"",""has_account"":false}","{""name"":""Antonietta"",""last_name"":""Quigley"",""email"":""yreynolds@yahoo.com"",""has_account"":false}"
227981bc-7ac7-3e0a-aaf0-c5b7ee33212f,2023-08-21T01:50:38+00:00,2023-10-20T19:54:46+00:00,,221.13,34.36,"{""name"":""June"",""last_name"":""Lindgren"",""email"":""norval97@yahoo.com"",""has_account"":false}","{""name"":""June"",""last_name"":""Lindgren"",""email"":""norval97@yahoo.com"",""has_account"":false}","{""name"":""June"",""last_name"":""Lindgren"",""email"":""norval97@yahoo.com"",""has_account"":false}"
9c8f10cb-cf49-33f2-b307-52ef58f49f1c,2023-04-03T23:46:37+00:00,2023-10-02T00:39:27+00:00,2023-10-04T02:13:02+00:00,136,30.37,"{""name"":""Kayley"",""last_name"":""Schroeder"",""email"":""cayla.mills@zulauf.net"",""has_account"":false}","{""name"":""Kayley"",""last_name"":""Schroeder"",""email"":""cayla.mills@zulauf.net"",""has_account"":false}","{""name"":""Kayley"",""last_name"":""Schroeder"",""email"":""cayla.mills@zulauf.net"",""has_account"":false}"
d2c924da-b5e4-3fd5-8bc1-2557af23131b,2023-06-29T10:47:46+00:00,2023-10-26T06:37:49+00:00,,466.35,47.98,"{""name"":""Madisyn"",""last_name"":""Jacobson"",""email"":""colin.romaguera@gmail.com"",""has_account"":false}","{""name"":""Madisyn"",""last_name"":""Jacobson"",""email"":""colin.romaguera@gmail.com"",""has_account"":false}","{""name"":""Madisyn"",""last_name"":""Jacobson"",""email"":""colin.romaguera@gmail.com"",""has_account"":false}"
3c057a26-c540-3983-8df5-0dda89a655d6,2023-05-25T11:08:07+00:00,2023-10-19T21:24:24+00:00,,144.78,8.1,"{""name"":""Nigel"",""last_name"":""Lehner"",""email"":""pollich.armani@prosacco.com"",""has_account"":false}","{""name"":""Nigel"",""last_name"":""Lehner"",""email"":""pollich.armani@prosacco.com"",""has_account"":false}","{""name"":""Nigel"",""last_name"":""Lehner"",""email"":""pollich.armani@prosacco.com"",""has_account"":false}"
e3fbdc4b-ba66-3f68-bc3d-6e5d8bc51ed0,2023-10-20T00:35:43+00:00,2023-10-27T23:04:59+00:00,,164.77,3.08,"{""name"":""Luigi"",""last_name"":""Kuhic"",""email"":""abdul.sauer@sporer.com"",""has_account"":false}","{""name"":""Luigi"",""last_name"":""Kuhic"",""email"":""abdul.sauer@sporer.com"",""has_account"":false}","{""name"":""Luigi"",""last_name"":""Kuhic"",""email"":""abdul.sauer@sporer.com"",""has_account"":false}"
ac10d915-caa3-390e-9aa3-3d06021f6449,2023-03-15T09:27:18+00:00,2023-10-04T23:52:56+00:00,,321.6,43.53,"{""name"":""Sallie"",""last_name"":""Rosenbaum"",""email"":""delta60@doyle.com"",""has_account"":true}","{""name"":""Sallie"",""last_name"":""Rosenbaum"",""email"":""delta60@doyle.com"",""has_account"":true}","{""name"":""Sallie"",""last_name"":""Rosenbaum"",""email"":""delta60@doyle.com"",""has_account"":true}"
3e0da5f6-c83a-3e22-9412-be404cb88736,2023-06-19T15:13:10+00:00,2023-10-02T21:28:34+00:00,,11.43,35.56,"{""name"":""Eugene"",""last_name"":""Keeling"",""email"":""lionel.kiehn@stamm.com"",""has_account"":false}","{""name"":""Eugene"",""last_name"":""Keeling"",""email"":""lionel.kiehn@stamm.com"",""has_account"":false}","{""name"":""Eugene"",""last_name"":""Keeling"",""email"":""lionel.kiehn@stamm.com"",""has_account"":false}"
c4067ed6-e38b-3e21-9afe-7c9e3471e2f6,2023-05-06T08:43:33+00:00,2023-10-28T08:15:25+00:00,,278.01,32.78,"{""name"":""Maryam"",""last_name"":""Jerde"",""email"":""cassandre60@yahoo.com"",""has_account"":true}","{""name"":""Maryam"",""last_name"":""Jerde"",""email"":""cassandre60@yahoo.com"",""has_account"":true}","{""name"":""Maryam"",""last_name"":""Jerde"",""email"":""cassandre60@yahoo.com"",""has_account"":true}"
aa00222d-f3df-32b2-a58e-d4576fa4cbce,2023-08-28T17:14:18+00:00,2023-10-26T12:02:48+00:00,2023-09-29T16:31:12+00:00,135.64,27.35,"{""name"":""Brad"",""last_name"":""Kuhic"",""email"":""jessie85@gmail.com"",""has_account"":false}","{""name"":""Brad"",""last_name"":""Kuhic"",""email"":""jessie85@gmail.com"",""has_account"":false}","{""name"":""Brad"",""last_name"":""Kuhic"",""email"":""jessie85@gmail.com"",""has_account"":false}"
